school,volunteer,sports,clubs,sports_clubs,help_others,explore,experience,resume,friends,leadership,other_benefits,no_benefits,distracts,training,frustrating,boring,takes_time,money,other_neg,no_neg,specialized_school
Manchester Township High School,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
Marine Academy of Science and Technology,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1
Marine Academy of Science and Technology,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1
Marine Academy of Science and Technology,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
Marine Academy of Science and Technology,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Marine Academy of Science and Technology,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Marine Academy of Science and Technology,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
Marine Academy of Science and Technology,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
Marine Academy of Science and Technology,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
Marine Academy of Science and Technology,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Marine Academy of Science and Technology,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Marine Academy of Science and Technology,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Marine Academy of Science and Technology,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Marine Academy of Science and Technology,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Marine Academy of Science and Technology,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
